,mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car_name
372,27.0,four,151.0,90,2735.0,18.0,82,USA,pontiac phoenix
373,24.0,four,140.0,92,2865.0,16.4,82,USA,ford fairmont futura
374,23.0,four,151.0,?,3035.0,20.5,82,USA,amc concord dl
375,36.0,four,105.0,74,1980.0,15.3,82,Canada,volkswagen rabbit l
376,37.0,four,91.0,68,2025.0,18.2,82,Mexico,mazda glc custom l
377,31.0,four,91.0,68,1970.0,17.6,82,Mexico,mazda glc custom
378,38.0,four,105.0,63,2125.0,14.7,82,USA,plymouth horizon miser
379,36.0,four,98.0,70,2125.0,17.3,82,USA,mercury lynx l
380,36.0,four,120.0,88,,14.5,82,Mexico,nissan stanza xe
381,36.0,four,107.0,75,2205.0,14.5,82,Mexico,honda accord
382,34.0,four,108.0,70,2245.0,16.9,82,Mexico,toyota corolla
383,38.0,four,91.0,67,1965.0,15.0,82,Mexico,honda civic
384,32.0,four,91.0,67,1965.0,15.7,82,Mexico,honda civic (auto)
385,38.0,four,91.0,67,1995.0,16.2,82,Mexico,datsun 310 gx
386,25.0,six,181.0,110,2945.0,16.4,82,USA,buick century limited
387,38.0,six,262.0,85,3015.0,17.0,82,USA,oldsmobile cutlass ciera (diesel)
388,26.0,four,156.0,92,2585.0,14.5,82,USA,chrysler lebaron medallion
389,22.0,six,232.0,xyz,2835.0,14.7,82,USA,ford granada l
390,32.0,four,144.0,96,2665.0,13.9,82,Mexico,toyota celica gt
391,36.0,four,135.0,84,2370.0,13.0,82,USA,dodge charger 2.2
392,27.0,four,151.0,90,2950.0,17.3,82,USA,chevrolet camaro
393,27.0,four,140.0,86,2790.0,15.6,82,USA,ford mustang gl
394,44.0,four,97.0,52,2130.0,24.6,82,Canada,vw pickup
395,32.0,four,135.0,84,2295.0,11.6,82,USA,dodge rampage
396,28.0,four,120.0,79,2625.0,18.6,82,USA,ford ranger
397,31.0,four,119.0,82,2720.0,19.4,82,USA,chevy s-10
